Column1,Column2
"VA2 69386 Apartament 2 camere, balcon, 46 mp, Floresti",https://www.olx.ro/oferta/va2-69386-apartament-2-camere-balcon-46-mp-floresti-IDaMrdF.html#1a789d23bd
Apartament cu 2 camere 49.38mp,https://www.olx.ro/oferta/apartament-cu-2-camere-49-38mp-IDcJ9V1.html#1a789d23bd
"Pf vând ap.2cam,74,41mp,finisat,decomandat,Floresti",https://www.olx.ro/oferta/pf-vand-ap-2cam-74-41mp-finisat-decomandat-floresti-IDcIsJQ.html#1a789d23bd
vand apartament,https://www.olx.ro/oferta/vand-apartament-IDc6zDJ.html#1a789d23bd
Pf apartament 2 cam 54 mp +terasa 20 mp Floresti bloc nou str stejarul,https://www.olx.ro/oferta/pf-apartament-2-cam-54-mp-terasa-20-mp-floresti-bloc-nou-str-stejarul-IDcOidc.html#1a789d23bd
"Apartament 2 camere , 51 mp, Floresti",https://www.olx.ro/oferta/apartament-2-camere-51-mp-floresti-IDbIh60.html#1a789d23bd
Vand/schimb apartament 2 camere Florest,https://www.olx.ro/oferta/vand-schimb-apartament-2-camere-florest-IDbHGyx.html#1a789d23bd
"PF Vand Apartament 2 cam, superfinisat, mobilat utilat 50 mp Floresti",https://www.olx.ro/oferta/pf-vand-apartament-2-cam-superfinisat-mobilat-utilat-50-mp-floresti-IDcNbdI.html#1a789d23bd
"Apartament nou, finisat, mobilat, complet utilat, Cluj Napoca, ieftin",https://www.olx.ro/oferta/apartament-nou-finisat-mobilat-complet-utilat-cluj-napoca-ieftin-IDcoUHJ.html#1a789d23bd
De vanzare ap 1 2 3 camere str galaxiei cartier baciu zona petrom,https://www.olx.ro/oferta/de-vanzare-ap-1-2-3-camere-str-galaxiei-cartier-baciu-zona-petrom-IDcADAw.html#1a789d23bd
Apartament de vânzare,https://www.olx.ro/oferta/apartament-de-vanzare-IDcMTnB.html#1a789d23bd
Vand apartament 2 camere,https://www.olx.ro/oferta/vand-apartament-2-camere-IDcGeSO.html#1a789d23bd
Vand apartament Campia Turzii,https://www.olx.ro/oferta/vand-apartament-campia-turzii-IDcMm7D.html#8a9a512a6d
Prima Imobil Residence Floresti zona Lidl,https://www.olx.ro/oferta/prima-imobil-residence-floresti-zona-lidl-IDczqKu.html#8a9a512a6d
Ieftin pentru tine. Vand apartament cu 2 camere.,https://www.olx.ro/oferta/ieftin-pentru-tine-vand-apartament-cu-2-camere-IDcpQsf.html#8a9a512a6d
Apartament de vanzare Florești,https://www.olx.ro/oferta/apartament-de-vanzare-floresti-IDczMGp.html#8a9a512a6d
"Apartament 2 camere Floresti, Cluj Napoca",https://www.olx.ro/oferta/apartament-2-camere-floresti-cluj-napoca-IDcLPN1.html#8a9a512a6d
"Vand apartament in Floresti, 3 camere,2 bai, balcon, loc de parcare",https://www.olx.ro/oferta/vand-apartament-in-floresti-3-camere-2-bai-balcon-loc-de-parcare-IDc1ltJ.html#8a9a512a6d
